Gene,Achilles_common_essential (1912),Hart et al. [2017] core (684),Behan et al. [2019] pan-cancer (553),Hart et al. [2015] core (1580),A priori CEG set
GTPBP4,1,1,1,1,4
GUK1,1,1,0,1,3
H1-2,1,0,0,0,1
H2AC11,1,0,0,0,1
H2AC12,1,0,0,0,1
H2AC15,1,0,0,0,1
H2AC16,1,0,0,0,1
H2AC17,1,0,0,0,1
H2AC20,1,0,0,0,1
H2AC21,1,0,0,0,1
H2AC4,1,0,0,0,1
H2AC6,1,0,0,0,1
H2AC7,1,0,0,0,1
H2AC8,1,0,0,0,1
H2AJ,1,0,0,0,1
H2AW,1,0,0,0,1
H2AX,1,0,0,0,1
H2AZ1,1,0,0,0,1
H2BC11,1,0,0,0,1
H2BC12,1,0,0,0,1
H2BC14,1,0,0,0,1
H2BC15,1,0,0,0,1
H2BC4,1,0,0,0,1
H2BC5,1,0,0,0,1
H2BC6,1,0,0,0,1
H2BC8,1,0,0,0,1
H2BC9,1,0,0,0,1
H3C11,1,0,0,0,1
H3C13,1,0,0,0,1
H3C8,1,0,0,0,1
H4C1,1,0,0,0,1
HAMP,1,0,0,0,1
HAPLN2,1,0,0,0,1
HARS1,1,0,0,0,1
HAUS1,1,1,1,1,4
HAUS2,1,0,0,0,1
HAUS3,1,0,1,1,3
HAUS4,1,0,1,1,3
HAUS5,1,1,0,1,3
HAUS6,1,0,0,0,1
HAUS7,1,0,1,1,3
HAUS8,1,0,0,1,2
HCFC1,1,1,1,1,4
HCFC1R1,1,0,0,1,2
HDAC3,1,1,0,1,3
HEATR1,1,1,1,1,4
HERC2,1,0,0,0,1
HGS,1,0,0,1,2
HIGD2A,1,0,0,0,1
HINFP,1,1,1,1,4
HIRA,1,0,0,0,1
HJURP,1,1,0,1,3
HMGA1,1,0,0,0,1
HMGB1,1,0,0,0,1
HMGB3,1,0,0,0,1
HMGCR,1,0,0,1,2
HMGCS1,1,0,0,1,2
HMGN2,1,0,0,0,1
HNRNPA1L2,1,0,0,0,1
HNRNPC,1,1,1,0,3
HNRNPH1,1,0,0,1,2
HNRNPK,1,1,1,1,4
HNRNPL,1,1,1,0,3
HNRNPM,1,0,0,1,2
HNRNPR,1,0,0,0,1
HNRNPU,1,1,0,1,3
HRK,1,0,0,0,1
HS6ST1,1,0,0,0,1
HSCB,1,0,0,1,2
HSP90B1,1,0,0,0,1
HSPA5,1,0,0,1,2
HSPA8,1,0,0,0,1
HSPA9,1,1,0,1,3
HSPD1,1,1,0,0,2
HSPE1,1,0,0,0,1
HTATSF1,1,0,0,1,2
HUWE1,1,1,0,1,3
HYOU1,1,0,0,1,2
HYPK,1,1,0,0,2
IARS1,1,0,0,0,1
IARS2,1,0,0,1,2
ICE1,1,0,0,0,1
ICE2,1,0,0,0,1
IFITM2,1,0,0,0,1
IFITM3,1,0,0,0,1
IGBP1,1,1,1,1,4
IGSF3,1,0,0,0,1
IK,1,0,0,0,1
ILF2,1,0,0,1,2
ILF3,1,1,0,1,3
IMP3,1,1,1,1,4
IMP4,1,1,0,1,3
INCENP,1,0,1,1,3
INHBE,1,0,0,0,1
INO80,1,0,0,1,2
INO80B,1,0,0,1,2
